year,month,day,name,type
2013,1,1,New Year's Day,Federal Holiday
2013,1,6,Epiphany,Christian
2013,1,7,Orthodox Christmas Day,Orthodox
2013,1,3,Stephen Foster Memorial Day,Observance
2013,1,4,Orthodox New Year,Orthodox
2013,1,8,Lee-Jackson Day,State holiday
2013,1,9,Robert E. Lee's Birthday,State holiday
2013,1,9,Confederate Heroes' Day,State holiday
2013,1,20,Inauguration Day,State holiday
2013,2,1,Martin Luther King Jr. Day,Federal Holiday
2013,2,1,Robert E. Lee's Birthday,State holiday
2013,2,1,Idaho Human Rights Day,State holiday
2013,2,1,Civil Rights Day,State holiday
2013,2,4,The Prophet's Birthday,Muslim
2013,2,6,Tu Bishvat/Tu B'Shevat,Jewish holiday
2013,2,9,Kansas Day,Observance
2013,2,1,National Freedom Day,Observance
2013,2,1,National Wear Red Day,Observance
2013,2,2,Groundhog Day,Observance
2013,2,3,Super Bowl,Sporting event
2013,2,4,Rosa Parks Day,Local observance
2013,2,10,Chinese New Year,Observance
2013,1,2,Lincoln's Birthday,State holiday
2013,1,2,Shrove Tuesday/Mardi Gras,State holiday
2013,1,2,Shrove Tuesday/Mardi Gras,"Observance, Christian"
2013,1,3,Ash Wednesday,Christian
2013,1,4,Valentine's Day,Observance
2013,1,4,Statehood Day,Local observance
2013,1,5,Susan B. Anthony's Birthday,Local observance
2013,1,6,Elizabeth Peratrovich Day,Local observance
2013,1,8,Presidents' Day,Federal Holiday
2013,1,8,Daisy Gatson Bates Day,State holiday
2013,2,4,Purim,Jewish holiday
2013,2,8,Linus Pauling Day,Local observance
2013,3,1,St. David's Day,"Observance, Christian"
2013,3,1,Read Across America Day,Observance
2013,3,1,Employee Appreciation Day,Observance
2013,3,2,Texas Independence Day,State holiday
2013,3,4,Casimir Pulaski Day,Local observance
2013,3,5,Town Meeting Day,State holiday
2013,3,9,Maha Shivaratri,Hindu Holiday
2013,3,10,Daylight Saving Time starts,Clock change/Daylight Saving Time
2013,1,7,St. Patrick's Day,"Observance, Christian"
2013,1,7,Evacuation Day,State holiday
2013,1,8,Evacuation Day observed,State holiday
2013,3,20,March Equinox,Season
2013,2,4,Palm Sunday,Christian
2013,2,5,Maryland Day,Local observance
2013,2,5,Seward's Day,State holiday
2013,2,6,Passover (first day),Jewish holiday
2013,2,6,Prince Jonah Kuhio Kalanianaole Day,State holiday
2013,2,7,Holi,Hindu Holiday
2013,2,8,Maundy Thursday,Christian
2013,2,9,Good Friday,State holiday
2013,3,30,Holy Saturday,Christian
2013,3,1,Easter Sunday,"Observance, Christian"
2013,3,1,César Chávez Day,State holiday
2013,4,1,Easter Monday,"Observance, Christian"
2013,4,1,César Chávez Day observed,State holiday
2013,4,2,Last Day of Passover,Jewish holiday
2013,4,2,Pascua Florida Day,Local observance
2013,4,6,National Tartan Day,Observance
2013,4,8,Yom HaShoah,Jewish commemoration
2013,1,5,Tax Day,Observance
2013,1,5,Father Damien Day,Local observance
2013,1,5,Patriot's Day,State holiday
2013,1,5,Boston Marathon,Sporting event
2013,1,6,Yom Ha'atzmaut,Jewish holiday
2013,1,6,Emancipation Day,State holiday
2013,1,6,National Library Workers' Day,Observance
2013,2,1,San Jacinto Day,State holiday
2013,2,2,Oklahoma Day,Local observance
2013,2,2,Confederate Memorial Day,State holiday
2013,2,2,Confederate Heroes' Day,State holiday
2013,2,4,Administrative Professionals Day,Observance
2013,2,5,Take our Daughters and Sons to Work Day,Observance
2013,2,6,Arbor Day,State holiday
2013,2,6,Confederate Heroes' Day,Local observance
2013,2,8,Lag BaOmer,Jewish holiday
2013,2,9,Confederate Memorial Day,State holiday
2013,5,1,Law Day,Observance
2013,5,1,Loyalty Day,Observance
2013,5,1,Lei Day,Local observance
2013,5,2,National Day of Prayer,Observance
2013,5,3,Orthodox Good Friday,Orthodox
2013,5,3,Kentucky Oaks,Sporting event
2013,5,4,Orthodox Holy Saturday,Orthodox
2013,5,4,Kent State Shootings Remembrance,Local observance
2013,5,4,Kentucky Derby,Sporting event
2013,5,4,Rhode Island Independence Day,Local observance
2013,5,4,National Explosive Ordnance Disposal (EOD) Day,Observance
2013,5,5,Orthodox Easter,Orthodox
2013,5,5,Cinco de Mayo,Observance
2013,5,6,Orthodox Easter Monday,Orthodox
2013,5,6,National Nurses Day,Observance
2013,5,8,Truman Day,State holiday
2013,5,8,Victory in Europe Day,Observance
2013,5,9,Ascension Day,Christian
2013,5,10,Confederate Memorial Day,State holiday
2013,1,2,Mother's Day,Observance
2013,1,5,Shavuot,Jewish holiday
2013,1,5,Peace Officers Memorial Day,Observance
2013,1,7,National Defense Transportation Day,Observance
2013,1,8,Armed Forces Day,Observance
2013,1,8,Preakness Stakes,Sporting event
2013,1,9,Pentecost,Christian
2013,5,20,Whit Monday,Christian
2013,2,2,Emergency Medical Services for Children Day,Observance
2013,2,2,National Maritime Day,Observance
2013,2,2,Harvey Milk Day,Local observance
2013,2,5,National Missing Children's Day,Observance
2013,2,6,Trinity Sunday,Christian
2013,2,7,Memorial Day,Federal Holiday
2013,2,7,Jefferson Davis' Birthday,Local observance
2013,5,30,Corpus Christi,Christian
2013,6,1,Statehood Day,Local observance
2013,6,3,Jefferson Davis' Birthday,Local observance
2013,6,3,Jefferson Davis' Birthday,State holiday
2013,6,6,Isra and Mi'raj,Muslim
2013,6,6,D-Day,Observance
2013,6,8,Belmont Stakes,Sporting event
2013,1,1,Kamehameha Day,State holiday
2013,1,4,Army Birthday,Observance
2013,1,4,Flag Day,Observance
2013,1,6,Father's Day,Observance
2013,1,6,Bunker Hill Day,Local observance
2013,1,9,Juneteenth,Local observance
2013,1,9,Emancipation Day,State holiday
2013,6,20,West Virginia Day,State holiday
2013,6,20,American Eagle Day,Observance
2013,2,1,June Solstice,Season
2013,7,4,Independence Day,Federal Holiday
2013,7,9,Ramadan Starts,Muslim
2013,1,3,Nathan Bedford Forrest Day,Local observance
2013,1,4,Bastille Day,Observance
2013,1,6,Tisha B'Av,Jewish holiday
2013,2,4,Pioneer Day,State holiday
2013,2,7,National Korean War Veterans Armistice Day,Observance
2013,2,8,Parents' Day,Observance
2013,8,1,Colorado Day,Local observance
2013,8,3,Lailat al-Qadr,Muslim
2013,8,4,Coast Guard Birthday,Observance
2013,8,7,Purple Heart Day,Observance
2013,8,8,Eid al-Fitr,Muslim
2013,1,2,Victory Day,State holiday
2013,1,5,Assumption of Mary,Christian
2013,1,6,Hawaii Statehood Day,State holiday
2013,1,6,Bennington Battle Day,State holiday
2013,1,9,National Aviation Day,Observance
2013,8,20,Raksha Bandhan,Hindu Holiday
2013,2,1,Senior Citizens Day,Observance
2013,2,6,Women's Equality Day,Observance
2013,2,7,Lyndon Baines Johnson Day,State holiday
2013,2,8,Janmashtami,Hindu Holiday
2013,9,2,Labor Day,Federal Holiday
2013,9,5,Rosh Hashana,Jewish holiday
2013,9,5,Rosh Hashana,State holiday
2013,9,7,Carl Garner Federal Lands Cleanup Day,Observance
2013,9,8,Ganesh Chaturthi,Hindu Holiday
2013,9,8,National Grandparents Day,Observance
2013,9,9,California Admission Day,Local observance
2013,1,1,Patriot Day,Observance
2013,1,4,Yom Kippur,State holiday
2013,1,4,Yom Kippur,Jewish holiday
2013,1,7,Constitution Day and Citizenship Day,Observance
2013,1,8,Air Force Birthday,Observance
2013,1,9,First Day of Sukkot,Jewish holiday
2013,9,20,National POW/MIA Recognition Day,Observance
2013,2,2,September Equinox,Season
2013,2,2,Emancipation Day,Local observance
2013,2,5,Last Day of Sukkot,Jewish holiday
2013,2,6,Shmini Atzeret,Jewish holiday
2013,2,7,Simchat Torah,Jewish holiday
2013,2,7,Native American Day,Local observance
2013,2,9,Gold Star Mother's Day,Observance
2013,10,4,Feast of St Francis of Assisi,Christian
2013,10,5,Navratri,Hindu Holiday
2013,10,7,Child Health Day,Observance
2013,10,9,Leif Erikson Day,Observance
2013,1,3,Dussehra,Hindu Holiday
2013,1,3,Navy Birthday,Observance
2013,1,3,Chicago Marathon,Sporting event
2013,1,4,Columbus Day,Federal Holiday
2013,1,4,Native Americans' Day,Local observance
2013,1,4,Indigenous People's Day,Local observance
2013,1,5,Eid al-Adha,Muslim
2013,1,5,White Cane Safety Day,Observance
2013,1,6,Boss's Day,Observance
2013,1,8,Alaska Day,State holiday
2013,1,9,Sweetest Day,Observance
2013,2,5,Nevada Day,State holiday
2013,3,1,Halloween,Observance
2013,11,1,All Saints' Day,Christian
2013,11,2,All Souls' Day,Christian
2013,11,3,Daylight Saving Time ends,Clock change/Daylight Saving Time
2013,11,3,Diwali/Deepavali,"Observance, Hinduism"
2013,11,3,New York City Marathon,Sporting event
2013,11,5,Muharram,Muslim
2013,11,10,Marine Corps Birthday,Observance
2013,11,11,Veterans Day,Federal Holiday
2013,11,28,Chanukah/Hanukkah (first day),Jewish holiday
2013,11,28,Thanksgiving Day,Federal Holiday
2013,11,29,Robert E. Lee's Birthday,State holiday
2013,11,29,Presidents' Day,State holiday
2013,11,29,Lincoln's Birthday/Lincoln's Day,State holiday
2013,11,29,Day After Thanksgiving,State holiday
2013,11,29,Family Day,State holiday
2013,11,29,Acadian Day,State holiday
2013,11,29,Black Friday,Observance
2013,11,29,American Indian Heritage Day,State holiday
2013,12,1,First Sunday of Advent,Christian
2013,12,1,Rosa Parks Day,Local observance
2013,12,2,Cyber Monday,Observance
2013,12,5,Last Day of Chanukah,Jewish holiday
2013,12,6,St Nicholas Day,Observance
2013,12,7,Pearl Harbor Remembrance Day,Observance
2013,12,8,Feast of the Immaculate Conception,Christian
2013,1,2,Feast of Our Lady of Guadalupe,Christian
2013,1,3,National Guard Birthday,Observance
2013,1,5,Bill of Rights Day,Observance
2013,1,7,Pan American Aviation Day,Observance
2013,1,7,Wright Brothers Day,Observance
2013,2,1,December Solstice,Season
2013,2,4,Christmas Eve,"Observance, Christian"
2013,2,4,Christmas Eve,State holiday
2013,2,4,Washington's Birthday,State holiday
2013,2,5,Christmas Day,Federal Holiday
2013,2,6,Kwanzaa (first day),Observance
2013,2,6,Day After Christmas Day,State holiday
2013,3,1,New Year's Eve,Observance
2013,3,1,New Year's Eve,State holiday
